73,44,87,77
81,88,8,21
36,97,27,35
77,64,32,72
50,78,6,40
15,42,62,66
39,30,62,43
73,28,28,2
77,35,49,81
30,11,92,28
94,54,77,14
47,15,5,75
59,14,13,40
1,90,30,30
25,100,64,97
45,14,27,78
18,9,33,79
27,29,31,59
12,86,17,96
2,12,77,25
4,36,60,12
96,27,2,99
83,64,71,29
4,30,25,30
1,3,64,97
71,38,14,23
89,91,86,41
91,77,91,98
78,85,70,73
26,93,42,1
55,58,4,81
50,9,98,13
83,41,67,48
90,67,20,64
34,88,85,21
71,20,36,89
95,96,87,8
79,60,28,1
5,39,13,12
59,89,23,31
78,1,96,48
18,67,6,84
33,90,100,13
26,31,90,59
19,78,35,1
49,63,31,34
53,91,96,85
26,53,51,21
93,49,55,19
20,1,85,80
73,95,61,71
37,100,29,54
33,8,86,8
56,92,75,50
70,54,30,77
69,93,34,7
95,51,8,66
24,38,15,40
42,76,100,73
39,65,51,39
70,90,49,91
68,63,4,10
79,84,90,25
1,21,79,83
35,39,80,68
29,7,35,49
23,25,57,65
10,40,54,12
93,52,38,34
53,46,21,47
92,84,100,43
98,5,37,77
14,14,51,39
36,70,28,80
41,87,45,67
44,48,23,99
67,50,34,83
11,80,34,5
41,67,7,89
0,40,42,46
99,96,77,79
39,70,95,3
72,85,95,52
86,78,22,90
23,37,13,93
69,51,28,21
53,51,98,46
82,13,50,48
43,53,63,19
82,11,7,48
42,6,62,34
15,48,13,29
6,3,40,10
43,68,17,85
45,83,57,21
48,95,34,79
74,77,70,30
2,15,56,7
89,79,50,66
3,19,22,46
7,27,1,96
79,20,65,2
6,2,76,92
70,44,13,23
98,5,70,56
16,23,51,71
51,64,57,0
72,29,89,31
96,13,99,38
87,78,71,41
26,100,43,33
77,48,36,26
81,82,33,77
12,31,43,61
40,53,69,8
29,23,7,30
94,26,41,18
17,67,58,39
10,4,69,22
90,5,21,61
89,2,5,60
61,0,42,34
21,80,86,15
19,21,16,47
50,95,46,96
43,85,14,75
78,17,39,3
81,0,68,77
53,35,40,19
33,16,50,56
32,92,59,63
97,42,73,95
98,88,97,8
99,38,11,24
46,62,96,89
66,46,19,33
39,59,95,49
29,8,23,28
19,13,87,33
59,33,46,22
60,30,3,33
73,68,7,12
32,40,14,44
69,60,90,67
76,67,9,2
25,81,18,2
76,3,24,53
4,23,62,30
27,49,69,90
53,78,32,92
35,96,45,29
37,18,16,30
82,34,55,23
85,62,68,43
91,31,28,97
11,72,71,88
4,60,11,4
58,82,83,42
76,95,81,10
42,80,37,69
90,11,66,37
99,79,67,2
79,11,74,5
41,96,26,71
95,24,95,57
91,11,67,100
45,52,92,64
92,17,37,3
98,15,31,38
51,36,34,58
43,67,32,4
36,39,56,40
64,44,23,42
2,58,35,9
46,18,46,86
59,87,75,44
84,9,11,44
84,63,77,84
61,48,2,100
0,93,13,8
93,21,36,26
27,91,82,38
16,64,5,87
98,62,13,89
95,22,48,61
15,31,89,23
96,74,32,77
12,65,86,73
24,66,64,84
80,93,6,41
30,0,73,9
63,94,42,78
77,54,31,30
66,98,72,63
64,31,20,8
90,56,13,78
57,88,63,18
29,30,45,96
57,33,79,11
61,17,23,65
95,9,23,51
94,66,9,2
76,70,13,37
76,60,39,4
70,84,35,5
9,1,93,53
7,13,48,44
100,51,31,51
26,4,44,81
78,97,61,99
48,79,16,96
59,35,96,27
91,38,29,90
90,33,95,20
18,18,85,76
70,23,60,64
70,21,77,10
82,65,56,69
58,1,97,66
7,96,57,63
35,47,58,95
30,48,3,28
71,6,61,92
26,77,79,64
66,62,36,19
52,17,30,34
84,93,2,13
63,12,35,50
47,91,2,62
23,45,63,67
73,99,93,80
66,74,96,72
67,40,24,10
5,28,63,61
74,12,48,63
94,2,65,95
85,33,63,63
90,88,59,5
51,57,88,67
44,49,61,14
57,54,49,49
55,89,98,0
3,1,96,46
72,54,72,73
69,41,24,77
23,68,2,9
69,72,43,99
78,54,27,60
38,99,33,21
17,3,89,67
31,22,88,84
2,41,25,69
46,47,12,42
64,85,71,8
50,73,21,36
28,94,36,76
15,64,6,95
61,16,31,78
73,86,77,54
83,15,50,36
85,46,24,72
44,24,25,37
66,78,73,37
39,8,94,71
78,5,72,97
69,41,92,63
80,73,52,54
49,47,44,98
41,37,47,77
70,94,12,17
58,69,34,46
11,26,87,29
77,34,47,31
42,58,14,44
61,40,89,42
15,77,61,99
37,21,94,85
73,88,9,16
36,42,10,70
72,57,4,30
34,40,45,82
89,15,32,9
44,30,12,53
98,84,70,29
35,17,19,71
30,4,54,80
94,15,65,71
87,88,48,55
7,78,0,75
47,23,48,93
91,53,53,83
37,66,68,38
59,2,20,13
60,3,88,74
79,11,58,68
56,85,2,84
0,37,62,12
67,65,30,80
6,80,22,48
7,6,18,83
82,66,90,63
73,36,84,37
42,62,62,25
87,3,68,80
87,99,42,57
85,56,69,28
100,77,75,28
47,9,95,36
18,60,45,4
11,28,77,71
79,21,92,88
26,39,85,93
75,89,21,80
27,25,84,36
87,42,23,93
50,96,91,23
95,58,82,26
43,62,59,78
12,76,49,31
99,3,86,54
98,19,47,3
14,81,96,98
69,96,45,61
47,37,38,95
81,79,75,60
68,40,44,36
67,48,35,25
30,32,42,20
69,78,59,74
50,89,44,39
15,55,72,12
7,75,82,16
4,55,59,21
51,25,81,21
92,9,25,15
89,98,35,13
99,52,100,59
45,46,70,75
64,47,0,54
74,18,38,6
66,59,95,13
9,58,18,29
97,86,41,84
38,29,95,41
47,6,22,0
99,25,15,79
91,68,28,15
72,92,43,15
84,50,26,15
41,12,54,85
52,26,12,24
41,75,49,9
28,39,91,77
47,52,51,39
92,38,4,96
61,54,76,21
28,73,67,86
24,1,16,84
19,19,45,3
